OrderNumber,QuantityOrdered,UnitPrice ,OrderLineNumber ,TotalSaleValue,OrderDate,Status,QuarterID,Month,Year,ProductLine,TotalCost,ProductCode,CustomerName,Phone,AddressLine1,AddressLine2,City,State,PostalCode,Country,Territory,ContactLastName,ContactFirstName,DealSize
10223,37,$100.00,1,"$3,700.00",20-02-2004,Shipped,1,2,2004,Motorcycles,"$2,405.00",S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,23,$100.00,7,"$2,300.00",05-04-2004,Shipped,2,4,2004,Motorcycles,"$1,495.00",S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251,28,$100.00,2,"$2,800.00",18-05-2004,Shipped,2,5,2004,Motorcycles,"$1,820.00",S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,34,$100.00,2,"$3,400.00",28-06-2004,Shipped,2,6,2004,Motorcycles,"$2,210.00",S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,$92.83,1,"$4,177.35",23-07-2004,Shipped,3,7,2004,Motorcycles,"$2,715.28",S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,36,$100.00,6,"$3,600.00",27-08-2004,Shipped,3,8,2004,Motorcycles,"$2,340.00",S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,23,$100.00,9,"$2,300.00",30-09-2004,Shipped,3,9,2004,Motorcycles,"$1,495.00",S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309,41,$100.00,5,"$4,100.00",15-10-2004,Shipped,4,10,2004,Motorcycles,"$2,665.00",S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,$94.74,1,"$4,358.04",02-11-2004,Shipped,4,11,2004,Motorcycles,"$2,832.73",S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,42,$100.00,1,"$4,200.00",15-11-2004,Shipped,4,11,2004,Motorcycles,"$2,730.00",S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341,41,$100.00,9,"$4,100.00",24-11-2004,Shipped,4,11,2004,Motorcycles,"$2,665.00",S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10361,20,$72.55,13,"$1,451.00",17-12-2004,Shipped,4,12,2004,Motorcycles,$943.15,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,21,$34.91,12,$733.11,03-02-2005,Shipped,1,2,2005,Motorcycles,$450.86,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10388,42,$76.36,4,"$3,207.12",03-03-2005,Shipped,1,3,2005,Motorcycles,"$1,972.38",S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403,24,$100.00,7,"$2,400.00",08-04-2005,Shipped,2,4,2005,Motorcycles,"$1,476.00",S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,66,$100.00,2,"$6,600.00",13-05-2005,Disputed,2,5,2005,Motorcycles,"$4,059.00",S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10103,26,$100.00,11,"$2,600.00",29-01-2003,Shipped,1,1,2003,Classic Cars,"$1,950.00",S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,29,$100.00,1,"$2,900.00",24-03-2003,Shipped,1,3,2003,Classic Cars,"$2,175.00",S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126,38,$100.00,11,"$3,800.00",28-05-2003,Shipped,2,5,2003,Classic Cars,"$2,850.00",S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Martin,Large
10140,37,$100.00,11,"$3,700.00",24-07-2003,Shipped,3,7,2003,Classic Cars,"$2,775.00",S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large
10150,45,$100.00,8,"$4,500.00",19-09-2003,Shipped,3,9,2003,Classic Cars,"$3,375.00",S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10163,21,$100.00,1,"$2,100.00",20-10-2003,Shipped,4,10,2003,Classic Cars,"$1,575.00",S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium
10174,34,$100.00,4,"$3,400.00",06-11-2003,Shipped,4,11,2003,Classic Cars,"$2,550.00",S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183,23,$100.00,8,"$2,300.00",13-11-2003,Shipped,4,11,2003,Classic Cars,"$1,725.00",S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194,42,$100.00,11,"$4,200.00",25-11-2003,Shipped,4,11,2003,Classic Cars,"$3,150.00",S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10206,47,$100.00,6,"$4,700.00",05-12-2003,Shipped,4,12,2003,Classic Cars,"$3,525.00",S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
10215,35,$100.00,3,"$3,500.00",29-01-2004,Shipped,1,1,2004,Classic Cars,"$2,625.00",S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium
10228,29,$100.00,2,"$2,900.00",10-03-2004,Shipped,1,3,2004,Classic Cars,"$2,175.00",S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium
10245,34,$100.00,9,"$3,400.00",04-05-2004,Shipped,2,5,2004,Classic Cars,"$2,550.00",S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10258,32,$100.00,6,"$3,200.00",15-06-2004,Shipped,2,6,2004,Classic Cars,"$2,400.00",S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,21,$100.00,9,"$2,100.00",19-07-2004,Shipped,3,7,2004,Classic Cars,"$1,575.00",S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280,34,$100.00,2,"$3,400.00",17-08-2004,Shipped,3,8,2004,Classic Cars,"$2,550.00",S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10291,37,$100.00,11,"$3,700.00",08-09-2004,Shipped,3,9,2004,Classic Cars,"$2,775.00",S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304,47,$100.00,6,"$4,700.00",11-10-2004,Shipped,4,10,2004,Classic Cars,"$3,525.00",S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
10312,48,$100.00,3,"$4,800.00",21-10-2004,Shipped,4,10,2004,Classic Cars,"$3,600.00",S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10322,40,$100.00,1,"$4,000.00",04-11-2004,Shipped,4,11,2004,Classic Cars,"$3,000.00",S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10333,26,$100.00,3,"$2,600.00",18-11-2004,Shipped,4,11,2004,Classic Cars,"$1,950.00",S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10347,30,$100.00,1,"$3,000.00",29-11-2004,Shipped,4,11,2004,Classic Cars,"$2,250.00",S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,32,$100.00,10,"$3,200.00",10-12-2004,Shipped,4,12,2004,Classic Cars,"$2,400.00",S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10369,41,$100.00,2,"$4,100.00",20-01-2005,Shipped,1,1,2005,Classic Cars,"$2,972.50",S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium
10381,36,$100.00,3,"$3,600.00",17-02-2005,Shipped,1,2,2005,Classic Cars,"$2,610.00",S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10391,24,$100.00,4,"$2,400.00",09-03-2005,Shipped,1,3,2005,Classic Cars,"$1,740.00",S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,23,$100.00,9,"$2,300.00",01-05-2005,Shipped,2,5,2005,Classic Cars,"$1,667.50",S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424,50,$100.00,6,"$5,000.00",31-05-2005,In Process,2,5,2005,Classic Cars,"$3,625.00",S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10107,39,$99.91,5,"$3,896.49",24-02-2003,Shipped,1,2,2003,Motorcycles,"$2,532.72",S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,29,$96.34,3,"$2,793.86",29-04-2003,Shipped,2,4,2003,Motorcycles,"$1,816.01",S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134,27,$100.00,5,"$2,700.00",01-07-2003,Shipped,3,7,2003,Motorcycles,"$1,755.00",S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,37,$100.00,9,"$3,700.00",25-08-2003,Shipped,3,8,2003,Motorcycles,"$2,405.00",S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,37,$100.00,17,"$3,700.00",10-10-2003,Shipped,4,10,2003,Motorcycles,"$2,405.00",S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,27,$100.00,4,"$2,700.00",28-10-2003,Shipped,4,10,2003,Motorcycles,"$1,755.00",S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,42,$100.00,12,"$4,200.00",11-11-2003,Shipped,4,11,2003,Motorcycles,"$2,730.00",S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium
10188,38,$96.34,4,"$3,660.92",18-11-2003,Shipped,4,11,2003,Motorcycles,"$2,379.60",S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,24,$100.00,5,"$2,400.00",01-12-2003,Shipped,4,12,2003,Motorcycles,"$1,560.00",S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10210,23,$100.00,2,"$2,300.00",12-01-2004,Shipped,1,1,2004,Motorcycles,"$1,495.00",S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,47,$100.00,4,"$4,700.00",20-02-2004,Shipped,1,2,2004,Motorcycles,"$3,055.00",S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236,22,$100.00,1,"$2,200.00",03-04-2004,Shipped,2,4,2004,Motorcycles,"$1,430.00",S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10251,44,$100.00,5,"$4,400.00",18-05-2004,Shipped,2,5,2004,Motorcycles,"$2,860.00",S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,40,$100.00,5,"$4,000.00",28-06-2004,Shipped,2,6,2004,Motorcycles,"$2,600.00",S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,22,$100.00,4,"$2,200.00",23-07-2004,Shipped,3,7,2004,Motorcycles,"$1,430.00",S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10285,47,$100.00,9,"$4,700.00",27-08-2004,Shipped,3,8,2004,Motorcycles,"$3,055.00",S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10298,39,$96.34,1,"$3,757.26",27-09-2004,Shipped,3,9,2004,Motorcycles,"$2,442.22",S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
10308,34,$100.00,2,"$3,400.00",15-10-2004,Shipped,4,10,2004,Motorcycles,"$2,210.00",S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,45,$100.00,4,"$4,500.00",02-11-2004,Shipped,4,11,2004,Motorcycles,"$2,925.00",S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,20,$100.00,2,"$2,000.00",15-11-2004,Shipped,4,11,2004,Motorcycles,"$1,300.00",S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,40,$68.92,4,"$2,756.80",23-11-2004,Shipped,4,11,2004,Motorcycles,"$1,791.92",S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,26,$51.15,8,"$1,329.90",17-12-2004,Shipped,4,12,2004,Motorcycles,$864.44,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374,39,$100.00,5,"$3,900.00",02-02-2005,Shipped,1,2,2005,Motorcycles,"$2,398.50",S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,50,$44.51,5,"$2,225.50",03-03-2005,Shipped,1,3,2005,Motorcycles,"$1,368.68",S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10402,45,$100.00,1,"$4,500.00",07-04-2005,Shipped,2,4,2005,Motorcycles,"$2,767.50",S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10417,45,$100.00,5,"$4,500.00",13-05-2005,Disputed,2,5,2005,Motorcycles,"$2,767.50",S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10107,27,$100.00,4,"$2,700.00",24-02-2003,Shipped,1,2,2003,Motorcycles,"$1,755.00",S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,46,$100.00,2,"$4,600.00",29-04-2003,Shipped,2,4,2003,Motorcycles,"$2,990.00",S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10134,31,$100.00,4,"$3,100.00",01-07-2003,Shipped,3,7,2003,Motorcycles,"$2,015.00",S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
10145,33,$100.00,8,"$3,300.00",25-08-2003,Shipped,3,8,2003,Motorcycles,"$2,145.00",S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,22,$100.00,16,"$2,200.00",10-10-2003,Shipped,4,10,2003,Motorcycles,"$1,430.00",S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,20,$100.00,3,"$2,000.00",28-10-2003,Shipped,4,10,2003,Motorcycles,"$1,300.00",S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,41,$100.00,11,"$4,100.00",11-11-2003,Shipped,4,11,2003,Motorcycles,"$2,665.00",S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large
10188,45,$100.00,3,"$4,500.00",18-11-2003,Shipped,4,11,2003,Motorcycles,"$2,925.00",S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201,49,$100.00,4,"$4,900.00",01-12-2003,Shipped,4,12,2003,Motorcycles,"$3,185.00",S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large
10210,34,$100.00,1,"$3,400.00",12-01-2004,Shipped,1,1,2004,Motorcycles,"$2,210.00",S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,49,$100.00,3,"$4,900.00",20-02-2004,Shipped,1,2,2004,Motorcycles,"$3,185.00",S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10237,39,$100.00,9,"$3,900.00",05-04-2004,Shipped,2,4,2004,Motorcycles,"$2,535.00",S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large
10251,43,$100.00,4,"$4,300.00",18-05-2004,Shipped,2,5,2004,Motorcycles,"$2,795.00",S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large
10263,41,$100.00,4,"$4,100.00",28-06-2004,Shipped,2,6,2004,Motorcycles,"$2,665.00",S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10275,36,$100.00,3,"$3,600.00",23-07-2004,Shipped,3,7,2004,Motorcycles,"$2,340.00",S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,27,$100.00,8,"$2,700.00",27-08-2004,Shipped,3,8,2004,Motorcycles,"$1,755.00",S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,29,$100.00,11,"$2,900.00",30-09-2004,Shipped,3,9,2004,Motorcycles,"$1,885.00",S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10308,20,$100.00,1,"$2,000.00",15-10-2004,Shipped,4,10,2004,Motorcycles,"$1,300.00",S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,37,$100.00,3,"$3,700.00",02-11-2004,Shipped,4,11,2004,Motorcycles,"$2,405.00",S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large
10329,26,$100.00,3,"$2,600.00",15-11-2004,Shipped,4,11,2004,Motorcycles,"$1,690.00",S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,39,$76.67,3,"$2,990.13",23-11-2004,Shipped,4,11,2004,Motorcycles,"$1,943.58",S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362,22,$100.00,4,"$2,200.00",05-01-2005,Shipped,1,1,2005,Motorcycles,"$1,353.00",S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10374,22,$100.00,1,"$2,200.00",02-02-2005,Shipped,1,2,2005,Motorcycles,"$1,353.00",S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,21,$86.77,7,"$1,822.17",03-03-2005,Shipped,1,3,2005,Motorcycles,"$1,120.63",S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10403,66,$100.00,9,"$6,600.00",08-04-2005,Shipped,2,4,2005,Motorcycles,"$4,059.00",S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
10417,56,$100.00,4,"$5,600.00",13-05-2005,Disputed,2,5,2005,Motorcycles,"$3,444.00",S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10105,50,$100.00,2,"$5,000.00",11-02-2003,Shipped,1,2,2003,Classic Cars,"$3,750.00",S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large
10119,46,$100.00,11,"$4,600.00",28-04-2003,Shipped,2,4,2003,Classic Cars,"$3,450.00",S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10129,33,$100.00,2,"$3,300.00",12-06-2003,Shipped,2,6,2003,Classic Cars,"$2,475.00",S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium
10143,49,$100.00,15,"$4,900.00",10-08-2003,Shipped,3,8,2003,Classic Cars,"$3,675.00",S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium
